License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2195318,"DISTILLER ""B-1""",205,DB,Albany,2,SARATOGA,SARATOGA COURAGE LLC,,324 WILTON RD,,GREENFIELD CENTER,NY,12833,889889,4/11/2014,4/1/2017,3/31/2020,43.14238,-73.80372,"(43.14238, -73.80372)"
2203631,FARM BREWER,106,FD,Albany,2,SARATOGA,QUINN BORCHARDT BREWING LLC,ARTISANAL BREW WORKS,41 GEYSER RD,BUILDING A SUITE 2,SARATOGA SPRINGS,NY,12866,902983,7/14/2016,7/1/2019,6/30/2020,43.06026,-73.81456,"(43.06026, -73.81456)"
2209819,FARM BREWER,106,FD,Albany,2,SARATOGA,OLIVA VINEYARDS LLC,RACING CITY BREWING COMPANY,250 EXCELSIOR AVE,,SARATOGA SPRINGS,NY,12866,907790,2/28/2018,9/1/2018,8/31/2019,43.09323,-73.75738,"(43.09323, -73.75738)"
2215548,FARM BREWER,106,FD,Albany,2,SARATOGA,GOOD VS EVIL BREWING LLC,UNIFIED BEERWORKS,7 STONEBREAK RD,STE 4,MALTA,NY,12020,999999,5/20/2019,7/23/2019,8/31/2019,42.96594,-73.78994,"(42.96594, -73.78994)"
2214570,FARM BREWER,106,FD,Albany,2,SARATOGA,SHMALTZ BREWING COMPANY LLC,,6 FAIRCHILD SQ,,CLIFTON PARK,NY,12065,918122,5/20/2019,5/20/2019,4/30/2020,42.90149,-73.79286,"(42.90149, -73.79286)"
2198203,"FARM DISTILLER ""D""",207,DD,Albany,2,SARATOGA,YANKEE DISTILLERS LLC,,5 FAIRCHILD SQAURE,,CLIFTON PARK,NY,12065,889938,4/16/2015,4/1/2017,3/31/2020,0,0,"(0.0, 0.0)"
2199687,"FARM DISTILLER ""D""",207,DD,Albany,2,SARATOGA,VAN HALL HOLDINGS LLC,UPSTATE DISTILLING COMPANY,434 SODEMAN RD,UNIT A,MIDDLE GROVE,NY,12850,889881,3/7/2016,3/30/2017,2/29/2020,43.07446,-73.89305,"(43.07446, -73.89305)"
2162536,"FARM DISTILLER ""D""",207,DD,Albany,2,SARATOGA,SARATOGA DISTILLERIES INC,,2474 OLD MILL ROAD,JOCKEY ST AND PARKIS MILL ST,GALWAY,NY,12074,891850,1/10/2011,6/9/2017,12/31/2019,43.03625761,-74.00327484,"(43.03625761, -74.00327484)"
2188557,FARM WINERY,302,FW,Albany,2,SARATOGA,RICHARD F GREEN,BALLSTON LAKE APIARIES,177 ASHDOWN RD,,BALLSTON LAKE,NY,12019,920138,10/18/2013,10/1/2019,9/30/2022,42.9041626,-73.86559872,"(42.9041626, -73.86559872)"
2190209,FARM WINERY,302,FW,Albany,2,SARATOGA,LEDGE ROCK HILL WINERY LLC,,41 STEWART DAM RD,,CORINTH,NY,12822,885718,11/18/2013,11/1/2016,10/31/2019,43.26981909,-73.8906716,"(43.26981909, -73.8906716)"
2206514,FARM WINERY,302,FW,Albany,2,SARATOGA,"SARATOGA WINERY INC, THE",,462 RTE 29,,SARATOGA SPRINGS,NY,12866,889381,5/23/2017,5/23/2017,4/30/2020,43.07463,-73.86346,"(43.07463, -73.86346)"
2197567,FARM WINERY,302,FW,Albany,2,SARATOGA,"FOSSIL STONE VINEYARDS LLC, THE",THE FOSSIL STONE VINEYARDS,331 GRANGE RD,,GREENFIELD CENTER,NY,12833,895447,12/22/2014,12/1/2017,11/30/2020,43.10533,-73.85214,"(43.10533, -73.85214)"
2214091,FARM WINERY,302,FW,Albany,2,SARATOGA,LONG ROAD WINEGROWERS LLC,GALWAY ROCK VINEYARD AND WINERY,998 NY 50,,BALLSTON LAKE,NY,12010,917597,6/26/2019,6/26/2019,3/31/2020,42.9369,-73.87441,"(42.9369, -73.87441)"
2213463,MICRO BREWER,101,MI,Albany,2,SARATOGA,DOUBLECUT LLC,,6 FAIRCHILD SQ,,CLIFTON PARK,NY,12065,918121,5/20/2019,5/20/2019,4/30/2020,42.90149,-73.79286,"(42.90149, -73.79286)"
2216406,MICRO BREWER,101,MI,Albany,2,SARATOGA,COMMON ROOTS BREWING COMPANY INC,COMMON ROOTS BREWING COMPANY,30 SARATOGA AVE,,S GLENS FALLS,NY,12803,910978,5/7/2019,5/7/2019,10/31/2019,43.29705,-73.6361,"(43.29705, -73.6361)"
2212922,MICRO BREWER,101,MI,Albany,2,SARATOGA,GOOD VS EVIL BREWING LLC,UNIFIED BEERWORKS,7 STONEBREAK RD,STE 4,MALTA,NY,12020,999999,9/27/2018,7/23/2019,8/31/2019,42.96568,-73.78953,"(42.96568, -73.78953)"
2206681,MICRO BREWER,101,MI,Albany,2,SARATOGA,DRUTHERS BREWING COMPANY INC,,381 BROADWAY,,SARATOGA SPRINGS,NY,12866,914201,4/20/2017,4/1/2019,3/31/2020,43.08103,-73.78578,"(43.08103, -73.78578)"
2214569,MICRO BREWER,101,MI,Albany,2,SARATOGA,SHMALTZ BREWING COMPANY LLC,,6 FAIRCHILD SQ,,CLIFTON PARK,NY,12065,917525,5/20/2019,5/20/2019,4/30/2020,42.90149,-73.79286,"(42.90149, -73.79286)"
2213636,MICRO BREWER,101,MI,Albany,2,SARATOGA,QUINN BORCHARDT BREWING LLC,ARTISANAL BREW WORKS,41 GEYSER RD,,SARATOGA SPRINGS,NY,12866,999999,10/1/2018,7/1/2019,6/30/2020,43.06026,-73.81456,"(43.06026, -73.81456)"
2200332,RESTAURANT BREWER,210,MR,Albany,2,SARATOGA,"FAIRWAYS OF HALFMOON LLC, THE",HANK HUDSON BREWING COMPANY,17 JOHNSON RD,,MECHANICVILLE,NY,12118,902744,8/6/2015,8/1/2018,7/31/2021,42.90128,-73.71115,"(42.90128, -73.71115)"
2149385,WINERY,301,DW,Albany,2,SARATOGA,"LEDGE ROCK HILL WINERY, LLC",LEDGE ROCK HILL WINERY,41 STEWART DAM ROAD,RT 10 & SOUTH SHORE RD,CORINTH,NY,12822,914847,5/6/2010,5/1/2019,4/30/2022,43.26983481,-73.89074373,"(43.26983481, -73.89074373)"
2209780,WINERY,301,DW,Albany,2,SARATOGA,OLD TAVERN FARM WINERY LLC,,45 BROWN RD,,STILLWATER,NY,12170,897746,1/9/2018,1/9/2018,12/31/2020,43.01791,-73.71967,"(43.01791, -73.71967)"
2209317,WINERY,301,DW,Albany,2,SARATOGA,OLIVA VINEYARDS LLC,OLIVA VINEYARDS,250 EXCELSIOR AVE,,SARATOGA SPRINGS,NY,12866,897980,2/28/2018,2/28/2018,11/30/2019,43.09323,-73.75738,"(43.09323, -73.75738)"
2204474,FARM BREWER,106,FD,Albany,2,SCHENECTADY,VAN SCHAICK BEER CO LLC,GREAT FLATS BREWING,151 LAFAYETTE ST,,SCHENECTADY,NY,12305,909802,1/27/2017,1/1/2019,12/31/2019,42.81252,-73.93792,"(42.81252, -73.93792)"
2213462,FARM BREWER,106,FD,Albany,2,SCHENECTADY,BACK BARN BREWING COMPANY LLC,BACK BARN BREWING COMPANY,7082 WESTERN TPKE,,DELANSON,NY,12053,910775,2/20/2019,2/20/2019,1/31/2020,42.76962,-74.17121,"(42.76962, -74.17121)"
2199563,"FARM DISTILLER ""D""",207,DD,Albany,2,SCHENECTADY,COYOTE HOLLOW STILL HOUSE LLC,COYOTE HOLLOW STILL HOUSE,833 OAK HILL RD,,ESPERANCE,NY,12066,889036,1/31/2017,3/6/2017,12/31/2019,42.72959,-74.27303,"(42.72959, -74.27303)"
2205172,"FARM DISTILLER ""D""",207,DD,Albany,2,SCHENECTADY,"SCHENECTADY DISTILLING COMPANY INC, THE",THE SCHENECTADY DISTILLING COMPANY,3304 AMSTERDAM RD,,GLENVILLE,NY,12302,894880,9/25/2017,9/25/2017,8/31/2020,42.8593,-74.01475,"(42.8593, -74.01475)"
